epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
52,4292.3,1.08647,0.70176,1.18932,0.96229,0.87594,0.92908,0.64576,1.18079,0.61062,1.11259,0.000707498,0.000707498,0.000707498
53,4372.43,1.07653,0.71503,1.20214,0.9495,0.89357,0.92655,0.61934,1.26722,0.62776,1.18439,0.000693351,0.000693351,0.000693351
54,4455.24,1.05424,0.6925,1.18366,0.95618,0.88695,0.92973,0.65821,1.14748,0.61094,1.12405,0.000679204,0.000679204,0.000679204
55,4527.64,1.05629,0.68264,1.18149,0.93692,0.88851,0.92869,0.69151,1.07771,0.56831,1.08298,0.000665057,0.000665057,0.000665057
56,4601.86,1.0738,0.68894,1.19206,0.98222,0.87357,0.93597,0.67986,1.09399,0.57375,1.09557,0.000650909,0.000650909,0.000650909
57,4675.79,1.09849,0.71374,1.18935,0.99096,0.87433,0.93381,0.68119,1.11715,0.57543,1.09275,0.000636762,0.000636762,0.000636762
58,4751.1,1.05374,0.67118,1.18478,0.95449,0.90727,0.93496,0.65436,1.17585,0.58834,1.13031,0.000622615,0.000622615,0.000622615
59,4830.54,1.04208,0.67168,1.1781,0.95998,0.88831,0.92909,0.68606,1.04666,0.59613,1.07408,0.000608468,0.000608468,0.000608468
60,4906.47,1.03933,0.6605,1.19146,0.95146,0.89565,0.93707,0.65456,1.16373,0.58279,1.115,0.000594321,0.000594321,0.000594321
61,4983.5,1.06166,0.68866,1.19296,0.97445,0.91014,0.94052,0.62631,1.32451,0.58782,1.17244,0.000580174,0.000580174,0.000580174
62,5066.02,1.03094,0.66378,1.17105,0.97586,0.879,0.93427,0.6999,1.02062,0.57088,1.0474,0.000566027,0.000566027,0.000566027
63,5146.68,1.03008,0.66419,1.16076,0.96248,0.89543,0.93886,0.7139,0.98974,0.52793,1.04224,0.00055188,0.00055188,0.00055188
64,5229.89,1.03797,0.64715,1.16512,0.96045,0.88536,0.93284,0.70747,1.00624,0.54473,1.04851,0.000537733,0.000537733,0.000537733
65,5304.76,0.99693,0.61996,1.14566,0.9794,0.88142,0.9299,0.72521,0.90702,0.52457,1.0148,0.000523586,0.000523586,0.000523586
66,5377.57,1.00983,0.63673,1.15128,0.97597,0.89317,0.93891,0.72398,0.94827,0.53484,1.03062,0.000509438,0.000509438,0.000509438
67,5451.34,1.00715,0.63871,1.15682,0.9874,0.87658,0.93834,0.68652,1.06159,0.53754,1.0757,0.000495291,0.000495291,0.000495291
68,5530.84,1.00053,0.62389,1.16594,0.98125,0.88721,0.94171,0.72013,0.97991,0.52167,1.01736,0.000481144,0.000481144,0.000481144
69,5607.93,0.97478,0.62805,1.13837,0.98387,0.89437,0.94166,0.71087,0.97477,0.50799,1.01735,0.000466997,0.000466997,0.000466997
70,5684.01,0.98244,0.58128,1.13592,0.98785,0.88732,0.93495,0.6861,1.0978,0.55125,1.06386,0.00045285,0.00045285,0.00045285
71,5760.32,0.99986,0.61336,1.15014,0.98132,0.89083,0.94258,0.69732,1.08399,0.53291,1.05605,0.000438703,0.000438703,0.000438703
72,5838.51,0.98337,0.61092,1.13458,0.97135,0.87672,0.93924,0.73082,0.90515,0.50489,1.00379,0.000424556,0.000424556,0.000424556
73,5915.86,0.99756,0.62037,1.14226,0.97103,0.89632,0.93981,0.73263,0.91569,0.49298,0.99882,0.000410409,0.000410409,0.000410409
74,5991.7,0.99142,0.61259,1.13558,0.97511,0.87851,0.93081,0.71843,0.94885,0.55408,1.01138,0.000396262,0.000396262,0.000396262
75,6064.57,0.95936,0.57948,1.11884,0.98033,0.88064,0.93442,0.71177,0.93446,0.51814,1.00335,0.000382115,0.000382115,0.000382115
76,6135.05,0.96112,0.58241,1.12832,0.98968,0.88769,0.93862,0.73716,0.91502,0.52169,0.99838,0.000367967,0.000367967,0.000367967
77,6208.62,0.94818,0.58801,1.11999,0.9734,0.90515,0.93945,0.72757,0.95379,0.51516,1.02295,0.00035382,0.00035382,0.00035382
78,6281.44,0.94594,0.57554,1.11082,0.98481,0.89113,0.93585,0.70299,1.03911,0.52686,1.05721,0.000339673,0.000339673,0.000339673
79,6356.61,0.95243,0.57684,1.12455,0.97943,0.90169,0.9416,0.68741,1.06942,0.52073,1.06298,0.000325526,0.000325526,0.000325526
80,6432.5,0.9402,0.58611,1.11461,0.99002,0.87933,0.94015,0.71682,0.96443,0.50004,1.02097,0.000311379,0.000311379,0.000311379
81,6506.59,0.93013,0.55953,1.10742,0.97959,0.8951,0.94338,0.71151,0.96142,0.50266,1.01939,0.000297232,0.000297232,0.000297232
82,6586.97,0.94134,0.57222,1.13568,0.97653,0.89282,0.94389,0.7338,0.95494,0.48873,1.00906,0.000283085,0.000283085,0.000283085
