epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,11496.4,1.00134,0.67223,1.2857,0.9655,0.89767,0.94927,0.67707,1.15684,0.56626,1.25406,0.00036704,0.00036704,0.00036704
84,11632.5,0.9759,0.6367,1.27584,0.938,0.91799,0.94905,0.65934,1.22481,0.55418,1.29081,0.00036176,0.00036176,0.00036176
85,11767.8,1.01248,0.67621,1.29999,0.9722,0.90861,0.95448,0.64029,1.30396,0.5577,1.33414,0.00035648,0.00035648,0.00035648
86,11903.8,1.00365,0.64946,1.29366,0.96036,0.88694,0.94512,0.7206,0.97978,0.50977,1.1576,0.0003512,0.0003512,0.0003512
87,12039.9,0.98904,0.64842,1.28147,0.94583,0.92179,0.95829,0.65505,1.22609,0.52594,1.29051,0.00034592,0.00034592,0.00034592
88,12175.3,0.97809,0.62708,1.2827,0.97477,0.91323,0.95781,0.67442,1.1367,0.53266,1.24779,0.00034064,0.00034064,0.00034064
89,12311.3,0.97654,0.61859,1.27713,0.98545,0.89758,0.94965,0.68261,1.11021,0.53767,1.21691,0.00033536,0.00033536,0.00033536
90,12447,0.96148,0.61905,1.27515,0.96082,0.90556,0.94728,0.71083,1.05759,0.49768,1.18718,0.00033008,0.00033008,0.00033008
91,12582.7,0.97771,0.62549,1.29054,0.95473,0.90416,0.94563,0.69898,1.06088,0.48777,1.20285,0.0003248,0.0003248,0.0003248
92,12719.2,0.95875,0.61454,1.26351,0.98372,0.88734,0.94846,0.63591,1.30204,0.56376,1.33212,0.00031952,0.00031952,0.00031952
93,12856,0.99711,0.64878,1.28476,0.9773,0.88577,0.94532,0.6933,1.08311,0.53728,1.20794,0.00031424,0.00031424,0.00031424
94,12992.7,0.94413,0.61556,1.24642,0.96523,0.89878,0.95164,0.66682,1.1855,0.53114,1.28078,0.00030896,0.00030896,0.00030896
